WikiRevId,LastTimestamp,ShouldRevert,NotSure,LooksGood
frwiki:168407893,1584190874,0,1,0
frwiki:168407855,1584190868,0,0,1
frwiki:168407504,1584190861,0,0,1
frwiki:168407538,1584190851,0,1,0
frwiki:168407552,1584190843,0,1,0
frwiki:168407596,1584190839,0,1,0
frwiki:168407653,1584190834,0,1,0
frwiki:168407670,1584190827,0,1,0
frwiki:168407698,1584190800,0,1,0
frwiki:168407752,1584190788,0,1,0
enwiki:945509093,1584190545,0,0,1
enwiki:945508024,1584189837,0,0,1
enwiki:945508018,1584189832,0,0,1
enwiki:945507997,1584189828,0,0,1
enwiki:945507996,1584189824,0,0,1
enwiki:945507822,1584189818,0,0,1
enwiki:945507650,1584189804,0,0,1
enwiki:945507644,1584189694,0,1,0
enwiki:945507635,1584189582,0,0,1
enwiki:945507630,1584189578,0,0,1
enwiki:945507617,1584189571,0,0,1
enwiki:945507618,1584189568,0,0,1
enwiki:945507582,1584189564,0,0,1
enwiki:945507583,1584189558,0,0,1
enwiki:945507543,1584189553,0,0,1
enwiki:945507544,1584189535,0,1,0
enwiki:945507540,1584189523,0,1,0
enwiki:945507537,1584189506,0,1,0
enwiki:945507514,1584189502,0,1,0
enwiki:945507515,1584189499,0,0,1
enwiki:945507507,1584189495,0,0,1
enwiki:945507488,1584189487,0,1,0
enwiki:945507436,1584189481,0,1,0
enwiki:945507420,1584189445,1,0,0
enwiki:945507421,1584189435,0,1,0
enwiki:945507410,1584189429,0,1,0
enwiki:945507401,1584189426,0,1,0
enwiki:945507263,1584189423,0,1,0
enwiki:945507257,1584189418,0,1,0
enwiki:945507209,1584189356,0,0,1
enwiki:945507198,1584189352,0,1,0
enwiki:945507192,1584189315,0,1,0
enwiki:945507179,1584189307,0,1,0
enwiki:945507180,1584189303,0,1,0
enwiki:945507150,1584189297,0,1,0
enwiki:945507151,1584189292,0,0,1
enwiki:945507135,1584189282,0,0,1
enwiki:945505465,1584189277,0,1,0
enwiki:945506162,1584189266,0,0,1
enwiki:945505548,1584188678,1,0,0
enwiki:945505564,1584188623,1,0,0
enwiki:945505586,1584188617,0,1,0
enwiki:945505600,1584188535,1,0,0
enwiki:945505618,1584188526,0,1,0
enwiki:945505647,1584188503,1,0,0
enwiki:945505696,1584188472,0,1,0
enwiki:945489417,1584177257,0,0,1
enwiki:945489289,1584177238,0,1,0
enwiki:945489293,1584177200,0,1,0
enwiki:945489277,1584177184,0,0,1
enwiki:945489256,1584177092,0,0,1
enwiki:945489240,1584177078,0,1,0
enwiki:945489180,1584177064,0,1,0
enwiki:945489181,1584177050,0,1,0
enwiki:945489081,1584177032,0,1,0
enwiki:945489029,1584177001,0,0,1
enwiki:945489010,1584176914,0,1,0
enwiki:945488814,1584176866,0,1,0
enwiki:945488478,1584176852,1,0,0
enwiki:945488479,1584176663,0,0,1
enwiki:945488455,1584176425,0,1,0
enwiki:945488392,1584176415,0,0,1
enwiki:945488250,1584176392,0,0,1
enwiki:945488251,1584176354,0,1,0
enwiki:945487509,1584176299,0,0,1
enwiki:945487510,1584176244,0,0,1
enwiki:945487802,1584176174,1,0,0
enwiki:945487828,1584176102,1,0,0
enwiki:945486930,1584175747,0,1,0
enwiki:945486322,1584175667,0,1,0
enwiki:945486718,1584175230,0,1,0
enwiki:945485922,1584175147,1,0,0
enwiki:945486043,1584175090,0,1,0
enwiki:945486099,1584174958,1,0,0
enwiki:945486175,1584174903,0,1,0
enwiki:945486177,1584174882,1,0,0
enwiki:945486193,1584174830,0,1,0
enwiki:945486215,1584174786,0,1,0
enwiki:945485647,1584174724,0,1,0
enwiki:945485909,1584174678,1,0,0
enwiki:945485950,1584174611,0,1,0
enwiki:945485966,1584174552,1,0,0
enwiki:945481361,1584171733,0,0,1
enwiki:945481376,1584171621,1,0,0
enwiki:945481417,1584171523,0,1,0
enwiki:945481389,1584171410,0,0,1
enwiki:945481396,1584171318,0,1,0
enwiki:945481229,1584171253,1,0,0
enwiki:945469560,1584161323,0,0,1
enwiki:945469836,1584161225,0,1,0
enwiki:945469837,1584161195,0,1,0
enwiki:945469593,1584161142,0,1,0
enwiki:945469594,1584161105,0,0,1
enwiki:945469106,1584161080,0,1,0
enwiki:945469665,1584161046,0,1,0
enwiki:945469119,1584161010,0,1,0
enwiki:945469488,1584160976,0,1,0
enwiki:945469556,1584160923,1,0,0
enwiki:945469461,1584160884,1,0,0
enwiki:945468617,1584160329,0,1,0
enwiki:945467462,1584159686,0,1,0
enwiki:945467486,1584159676,0,1,0
enwiki:945467570,1584159671,0,1,0
enwiki:945467578,1584159665,0,1,0
enwiki:945467551,1584159617,1,0,0
enwiki:945460188,1584154734,1,0,0
enwiki:945460195,1584154705,0,1,0
enwiki:945460201,1584154699,0,0,1
enwiki:945460203,1584154679,0,1,0
enwiki:945460204,1584154654,0,1,0
enwiki:945460247,1584154648,0,1,0
enwiki:945460264,1584154636,0,1,0
enwiki:945460335,1584154621,0,1,0
enwiki:945460336,1584154612,0,1,0
enwiki:945460314,1584154597,0,0,1
enwiki:945459871,1584154590,0,0,1
enwiki:945459885,1584154575,0,0,1
enwiki:945460075,1584154559,0,0,1
enwiki:945460107,1584154546,0,1,0
enwiki:945460148,1584154534,0,0,1
enwiki:945460163,1584154519,0,1,0
enwiki:945460183,1584154509,0,1,0
enwiki:945460062,1584154448,1,0,0
dewiki:196083071,1584148927,0,0,1
enwiki:945448535,1584148758,0,1,0
enwiki:945448376,1584148729,0,1,0
enwiki:945448388,1584148708,1,0,0
enwiki:945448272,1584148661,0,1,0
enwiki:945447504,1584148525,1,0,0
enwiki:945447531,1584148516,0,1,0
enwiki:945447585,1584148504,0,1,0
enwiki:945447741,1584148460,1,0,0
enwiki:945447785,1584148413,1,0,0
enwiki:945445392,1584147556,0,1,0
enwiki:945445396,1584147525,0,1,0
enwiki:945445580,1584147386,0,1,0
enwiki:945445751,1584147349,1,0,0
enwiki:945444880,1584147292,1,0,0
enwiki:945444912,1584147263,1,0,0
enwiki:945445058,1584147256,0,1,0
enwiki:945445113,1584147233,1,0,0
enwiki:945444343,1584146725,1,0,0
enwiki:945444368,1584146701,1,0,0
enwiki:945444392,1584146688,0,1,0
enwiki:945444252,1584146648,0,1,0
enwiki:945443769,1584146640,0,1,0
enwiki:945443812,1584146616,1,0,0
enwiki:945443944,1584146553,0,1,0
enwiki:945444117,1584146525,0,1,0
enwiki:945443675,1584146501,0,1,0
enwiki:945443166,1584146445,1,0,0
enwiki:945443203,1584146430,0,1,0
enwiki:945443428,1584146189,1,0,0
enwiki:945442683,1584145791,1,0,0
enwiki:945440990,1584144792,0,1,0
enwiki:945440422,1584144786,1,0,0
enwiki:945440423,1584144720,1,0,0
enwiki:945440899,1584144711,0,0,1
enwiki:945440424,1584144705,0,1,0
enwiki:945440437,1584144702,0,0,1
enwiki:945440881,1584144699,0,0,1
enwiki:945440438,1584144696,0,0,1
enwiki:945440443,1584144689,0,1,0
enwiki:945440444,1584144676,0,0,1
enwiki:945440445,1584144667,0,0,1
enwiki:945440465,1584144663,0,0,1
enwiki:945440483,1584144641,1,0,0
enwiki:945440490,1584144626,1,0,0
enwiki:945440735,1584144618,0,0,1
enwiki:945440003,1584144615,0,0,1
enwiki:945440734,1584144610,0,0,1
enwiki:945440505,1584144604,0,0,1
enwiki:945440506,1584144598,0,0,1
enwiki:945440717,1584144594,0,0,1
enwiki:945440527,1584144592,0,0,1
enwiki:945440706,1584144588,0,0,1
enwiki:945440539,1584144583,0,0,1
enwiki:945440541,1584144578,0,1,0
enwiki:945440552,1584144570,0,1,0
enwiki:945440556,1584144560,0,0,1
enwiki:945440557,1584144555,0,1,0
enwiki:945440631,1584144549,0,1,0
enwiki:945440568,1584144538,0,0,1
enwiki:945440237,1584144534,1,0,0
enwiki:945440365,1584144518,1,0,0
enwiki:945440390,1584144501,1,0,0
enwiki:945440498,1584144480,0,0,1
enwiki:945411478,1584130120,1,0,0
enwiki:945398518,1584124259,0,1,0
enwiki:945398520,1584124251,0,0,1
enwiki:945397928,1584124226,1,0,0
enwiki:945397955,1584124107,0,0,1
enwiki:945397995,1584124051,1,0,0
enwiki:945397999,1584124027,0,1,0
enwiki:945398013,1584123913,1,0,0
enwiki:945397886,1584123849,0,1,0
enwiki:945383934,1584122461,0,1,0
enwiki:945384444,1584122443,0,0,1
enwiki:945384447,1584122386,0,1,0
enwiki:945384466,1584122373,0,0,1
enwiki:945384475,1584122365,0,0,1
enwiki:945384496,1584122349,0,1,0
enwiki:945384498,1584122340,0,0,1
enwiki:945384000,1584122329,0,0,1
enwiki:945384504,1584122297,0,0,1
